index,category
Bars,130
Cocktail Bars,80
Dive Bars,79
American (New),75
Lounges,73
Wine Bars,65
Sports Bars,56
Pubs,41
Italian,35
American (Traditional),24
Mexican,23
Gay Bars,23
Dance Clubs,21
Pizza,15
Seafood,13
Beer Bar,11
Breakfast & Brunch,10
Venues & Event Spaces,9
Gastropubs,9
Coffee & Tea,9
Breweries,8
Japanese,8
French,7
Cafes,7
Sushi Bars,7
Thai,7
Karaoke,6
Burgers,6
Music Venues,6
Speakeasies,5
Comfort Food,5
Indian,5
Latin American,5
Steakhouses,4
"Beer, Wine & Spirits",4
Spanish,4
Chinese,4
Irish,4
Mediterranean,4
Sandwiches,4
Arcades,3
Irish Pub,3
Southern,3
Tapas/Small Plates,3
Tiki Bars,3
Moroccan,3
German,3
Jazz & Blues,3
Hookah Bars,3
Vietnamese,3
Senegalese,2
Himalayan/Nepalese,2
Tacos,2
Hawaiian,2
Burmese,2
Barbeque,2
Art Galleries,2
Peruvian,2
Asian Fusion,2
Museums,2
Cheese Shops,2
Brasseries,2
Whiskey Bars,1
Vinyl Records,1
Piano Bars,1
Cannabis Clinics,1
Street Vendors,1
Pool Halls,1
Brazilian,1
Bubble Tea,1
Wineries,1
Delis,1
Restaurants,1
Salad,1
Bowling,1
Korean,1
Dim Sum,1
Tea Rooms,1
Stadiums & Arenas,1
Middle Eastern,1
Donuts,1
Persian/Iranian,1
Cuban,1
Cajun/Creole,1
Tobacco Shops,1
Mini Golf,1
Ethiopian,1
Hot Pot,1
Chicken Wings,1
Vegetarian,1
Tapas Bars,1
Portuguese,1
Party & Event Planning,1
Scandinavian,1
Sports Clubs,1
Champagne Bars,1
Ramen,1
